Fecha_hecho,Departamento,Codigo_municipio,Municipio,Cantidad,Tipo_evento,Armas_medios,Genero,Grupo_etario,Zona,Edad,Usuario_via,Actor_vial
2025-10-24,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-22,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-22,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-21,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-21,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-20,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-20,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-19,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-19,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-18,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-17,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-16,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-15,Cundinamarca,25473,Mosquera,2.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-14,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-13,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-10,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-09,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-09,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-09,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-07,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-06,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-04,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-02,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-10-01,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
